title,author,description
"Pachinko","Min Jin Lee","Four generations of a Korean family in Japan struggle with identity and survival."
"Beloved","Toni Morrison","A haunting tale about slavery’s enduring trauma."
"One Hundred Years of Solitude","Gabriel García Márquez","A multigenerational magical realism epic."
"Brave New World","Aldous Huxley","A dystopian society obsessed with pleasure, control, and conformity."
"The Alchemist","Paulo Coelho","A fable about following your dreams across continents."
"The Kite Runner","Khaled Hosseini","A powerful story of friendship and redemption set against Afghanistan’s turbulent history."
"Educated","Tara Westover","(Duplicate intentionally removed)"
"The Hitchhiker's Guide to the Galaxy","Douglas Adams","A hilarious science-fiction adventure across the universe."
"Life of Pi","Yann Martel","A boy stranded on a lifeboat with a Bengal tiger."
"The Power of Habit","Charles Duhigg","An exploration into the science of why habits exist and how to change them."
"Sapiens","Yuval Noah Harari","A brief history of humankind from prehistoric to modern times."
"Thinking, Fast and Slow","Daniel Kahneman","Nobel laureate explores two modes of thought and decision-making."
"Quiet","Susan Cain","On introversion and how modern culture undervalues it."
"Bad Blood","John Carreyrou","The rise and fall of Theranos and its charismatic founder."
"Beartown","Fredrik Backman","A small town’s identity is tied to its struggling hockey team."
"The Subtle Art of Not Giving a F*ck","Mark Manson","A brutally honest guide to living a better life by caring less."
"Educated","Tara Westover","(Another duplicate removed)"
"The Sum of Us","Heather McGhee","Examines racism’s economic impact and how solidarity can rebuild society."
"The Color Purple","Alice Walker","Seeped in hardship, sisterhood, and heart-wrenching resilience."
"Outliers","Malcolm Gladwell","An analysis of what makes high‑achievers different."
"Blink","Malcolm Gladwell","The power of thinking without thinking—rapid cognition."
"Wild","Cheryl Strayed","A woman hikes the Pacific Crest Trail seeking healing."
"Invisible Women","Caroline Criado Perez","Data bias and gender around the world."
"The Body Keeps the Score","Bessel van der Kolk","A revolutionary understanding of trauma’s impact on the body."
"Grit","Angela Duckworth","Why passion and perseverance are key to success."
"Lost Connections","Johann Hari","Explores the real causes of depression and unexpected paths to recovery."
"Quiet","Susan Cain","(Duplicate removed)"
"Never Let Me Go","Kazuo Ishiguro","Students at a boarding school slowly uncover a chilling purpose."
"Station Eleven","Emily St. John Mandel","A post‑pandemic novel about art, memory, and survival."
"Slaughterhouse‑Five","Kurt Vonnegut","A nonlinear satire on war and time travel."
"The Immortal Life of Henrietta Lacks","Rebecca Skloot","The story of the woman behind the HeLa cells."
"Educated at the Garden","Fictional Author Name","A whimsical tale of growth and gardening allegory."
"The Road to Character","David Brooks","Explores virtues and moral humility."
"Girl, Woman, Other","Bernardine Evaristo","Lives of Black British women interconnect over several decades."
"On Writing","Stephen King","Part memoir, part master class from a bestselling author on writing craft."
"The Art of War","Sun Tzu","Ancient military treatise on strategy beyond the battlefield."
"Quiet Power","Susan Cain","Introverted leaders harness their strengths."
"Becoming","Michelle Obama","(Duplicate removed)"
"Educated","Tara Westover","(Duplicate removed)"
"The Death and Life of the Great American School System","Diane Ravitch","A critique of American public education reform."
"The Emperor of All Maladies","Siddhartha Mukherjee","A biography of cancer—its people and treatments."
"The Wright Brothers","David McCullough","The story of the brothers who changed aviation forever."
"The Omnivore’s Dilemma","Michael Pollan","An investigation into food sources and eating habits."
"Surely You’re Joking, Mr. Feynman!","Richard Feynman","Adventures of an eccentric Nobel laureate."
"The Warmth of Other Suns","Isabel Wilkerson","The Great Migration of Black Americans from the South."
"Bel Canto","Ann Patchett","A hostage crisis becomes an unexpected gathering of souls."
"The Martian","Andy Weir","A stranded astronaut fights to survive on Mars."
"Shadow of the Wind","Carlos Ruiz Zafón","A boy in post-war Barcelona uncovers a mysterious author’s secrets."
"The Giver","Lois Lowry","A young boy discovers unsettling truths in a utopian society."
"The Secret History","Donna Tartt","A group of classics students commit murder in a cloistered campus."
"Persepolis","Marjane Satrapi","A graphic memoir of growing up during the Iranian Revolution."
"Norwegian Wood","Haruki Murakami","A sensitive student's coming‑of‑age tale in 1960s Tokyo."
"Paper Towns","John Green","Mystery and nostalgia blend on a teenage road trip."
"Good to Great","Jim Collins","Why some companies make the leap and others don't."
"Rich Dad Poor Dad","Robert Kiyosaki","A look at financial mindset through two father figures."
"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","An aging Hollywood star recounts her glamorous and scandalous life."
"Less","Andrew Sean Greer","A failed novelist travels the world to avoid an ex’s wedding."
